n,algorithm,scenario,k,p,nstart,nsteps,nsteps.c2,factor.nstart,factor.nsteps,balanced,seed,time,error,obj
1000,1,2,3,10,400,20,20,5,1,1,4,3.39361691474915,0.076,-16248.6548425972
200,2,2,3,10,400,20,20,5,1,1,4,1.62066411972046,0.04,-2993.32516644011
500,2,2,3,10,400,20,20,5,1,1,4,3.77889490127563,0.034,-7659.77827227493
1000,2,2,3,10,400,20,20,5,1,1,4,12.4554240703583,0.031,-15553.3341242478
200,3,2,3,10,400,20,20,5,1,1,4,5.38659596443176,0.075,-3152.30709336163
500,3,2,3,10,400,20,20,5,1,1,4,8.64847707748413,0.062,-8036.16231881335
1000,3,2,3,10,400,20,20,5,1,1,4,14.3596320152283,0.076,-16248.6548425972
200,1,1,6,10,400,20,20,5,1,1,4,2.08057403564453,0.2,-2953.78399702584
500,1,1,6,10,400,20,20,5,1,1,4,5.23506307601929,0.186,-7538.5986438741
1000,1,1,6,10,400,20,20,5,1,1,4,9.20697712898254,0.035,-15036.0413711002
200,2,1,6,10,400,20,20,5,1,1,4,2.1472589969635,0.06,-2628.36499930147
500,2,1,6,10,400,20,20,5,1,1,4,7.00293302536011,0.012,-6928.17740877257
1000,2,1,6,10,400,20,20,5,1,1,4,17.4463539123535,0.022,-14124.7341443982
200,3,1,6,10,400,20,20,5,1,1,4,8.85665202140808,0.2,-2953.78399702584
500,3,1,6,10,400,20,20,5,1,1,4,23.8799431324005,0.028,-7509.02144701111
1000,3,1,6,10,400,20,20,5,1,1,4,39.5185809135437,0.037,-15308.3029836313
200,1,2,6,10,400,20,20,5,1,1,4,1.71341800689697,0.225,-3296.99520569099
500,1,2,6,10,400,20,20,5,1,1,4,4.93779516220093,0.054,-8254.32364259715
1000,1,2,6,10,400,20,20,5,1,1,4,8.2549250125885,0.049,-16660.823946824
200,2,2,6,10,400,20,20,5,1,1,4,1.87598299980164,0.07,-3043.03511869674
500,2,2,6,10,400,20,20,5,1,1,4,6.02220892906189,0.028,-7893.58058031453
1000,2,2,6,10,400,20,20,5,1,1,4,14.7223789691925,0.029,-16091.3792911122
200,3,2,6,10,400,20,20,5,1,1,4,8.54774308204651,0.22,-3292.85353905321
500,3,2,6,10,400,20,20,5,1,1,4,26.5101079940796,0.06,-8301.31484597567
1000,3,2,6,10,400,20,20,5,1,1,4,43.4063818454742,0.059,-16766.0185022986
200,1,1,3,4,100,20,20,5,1,2,4,0.0568480491638184,0.03,-1301.41090164459
500,1,1,3,4,100,20,20,5,1,2,4,0.162564992904663,0.038,-3373.75145425051
1000,1,1,3,4,100,20,20,5,1,2,4,0.261301040649414,0.03,-6613.1497147879
200,2,1,3,4,100,20,20,5,1,2,4,0.0977389812469482,0.02,-1165.13690792329
500,2,1,3,4,100,20,20,5,1,2,4,0.424864053726196,0.014,-3004.52989715948
1000,2,1,3,4,100,20,20,5,1,2,4,3.17905020713806,0.017,-5972.99703484316
200,3,1,3,4,100,20,20,5,1,2,4,0.43184494972229,0.03,-1301.41090164459
500,3,1,3,4,100,20,20,5,1,2,4,1.50350999832153,0.038,-3373.75145425051
1000,3,1,3,4,100,20,20,5,1,2,4,2.24798893928528,0.03,-6613.1497147879
200,1,2,3,4,100,20,20,5,1,2,4,0.103724002838135,0.06,-1715.44277270973
500,1,2,3,4,100,20,20,5,1,2,4,0.282751083374023,0.054,-4323.91355222977
1000,1,2,3,4,100,20,20,5,1,2,4,0.437831163406372,0.043,-8559.22035588013
200,2,2,3,4,100,20,20,5,1,2,4,0.230384111404419,0.03,-1553.58848406316
500,2,2,3,4,100,20,20,5,1,2,4,1.0517110824585,0.02,-3987.68085095429
1000,2,2,3,4,100,20,20,5,1,2,4,4.52888894081116,0.022,-7940.55889324362
200,3,2,3,4,100,20,20,5,1,2,4,0.495674133300781,0.06,-1715.44277270973
500,3,2,3,4,100,20,20,5,1,2,4,1.38629293441772,0.054,-4323.91355222977
1000,3,2,3,4,100,20,20,5,1,2,4,2.45543384552002,0.043,-8559.22035588013
200,1,1,6,4,100,20,20,5,1,2,4,0.180517911911011,0.02,-1514.04790244248
500,1,1,6,4,100,20,20,5,1,2,4,0.643278837203979,0.02,-3727.40739119308
1000,1,1,6,4,100,20,20,5,1,2,4,0.845739126205444,0.165,-7199.21385284783
200,2,1,6,4,100,20,20,5,1,2,4,0.271275043487549,0.025,-1270.21767616205
500,2,1,6,4,100,20,20,5,1,2,4,1.04021692276001,0.012,-3276.82741036738
1000,2,1,6,4,100,20,20,5,1,2,4,3.62620401382446,0.018,-6569.7820715414
200,3,1,6,4,100,20,20,5,1,2,4,1.05418300628662,0.045,-1517.42633514815
500,3,1,6,4,100,20,20,5,1,2,4,2.65381002426147,0.02,-3727.40739119308
1000,3,1,6,4,100,20,20,5,1,2,4,3.64777898788452,0.026,-7343.25721620727
200,1,2,6,4,100,20,20,5,1,2,4,0.262303113937378,0.02,-1807.11704298998
500,1,2,6,4,100,20,20,5,1,2,4,0.706111907958984,0.044,-4566.77362629534
1000,1,2,6,4,100,20,20,5,1,2,4,1.0382239818573,0.048,-9291.35656861605
200,2,2,6,4,100,20,20,5,1,2,4,0.438827037811279,0.02,-1665.82436524347
500,2,2,6,4,100,20,20,5,1,2,4,1.49899411201477,0.016,-4261.73297086131
1000,2,2,6,4,100,20,20,5,1,2,4,6.05348706245422,0.026,-8520.09172150903
200,3,2,6,4,100,20,20,5,1,2,4,1.34041595458984,0.02,-1807.11704298998
500,3,2,6,4,100,20,20,5,1,2,4,3.28222298622131,0.044,-4566.77362629534
1000,3,2,6,4,100,20,20,5,1,2,4,5.01014113426208,0.048,-9291.35656861605
200,1,1,3,10,100,20,20,5,1,2,4,0.361953973770142,0.055,-2737.87149635844
500,1,1,3,10,100,20,20,5,1,2,4,0.744009017944336,0.044,-7040.71087769264
1000,1,1,3,10,100,20,20,5,1,2,4,1.16687893867493,0.055,-14182.6021601184
200,2,1,3,10,100,20,20,5,1,2,4,0.458774089813232,0.03,-2578.24169033201
500,2,1,3,10,100,20,20,5,1,2,4,1.37486886978149,0.016,-6681.34896808795
1000,2,1,3,10,100,20,20,5,1,2,4,3.98434495925903,0.018,-13593.3713628466
200,3,1,3,10,100,20,20,5,1,2,4,1.84678602218628,0.065,-2769.53645563525
500,3,1,3,10,100,20,20,5,1,2,4,4.5089418888092,0.044,-7040.71087769264
1000,3,1,3,10,100,20,20,5,1,2,4,7.31404900550842,0.055,-14182.6021601184
200,1,2,3,10,100,20,20,5,1,2,4,0.362032175064087,0.06,-3136.51482682076
500,1,2,3,10,100,20,20,5,1,2,4,0.646272897720337,0.062,-8054.74039003031
1000,1,2,3,10,100,20,20,5,1,2,4,0.990350961685181,0.08,-16214.411899239
200,2,2,3,10,100,20,20,5,1,2,4,0.45079493522644,0.04,-2986.28049596377
500,2,2,3,10,100,20,20,5,1,2,4,1.09806394577026,0.032,-7658.1703849673
1000,2,2,3,10,100,20,20,5,1,2,4,3.88316893577576,0.03,-15547.544272992
200,3,2,3,10,100,20,20,5,1,2,4,1.65656590461731,0.065,-3150.64197752269
500,3,2,3,10,100,20,20,5,1,2,4,3.08475089073181,0.062,-8054.74039003031
1000,3,2,3,10,100,20,20,5,1,2,4,4.9100239276886,0.08,-16214.411899239
200,1,1,6,10,100,20,20,5,1,2,4,0.642282009124756,0.355,-3030.45987080317
500,1,1,6,10,100,20,20,5,1,2,4,2.01760506629944,0.198,-7638.94404450812
1000,1,1,6,10,100,20,20,5,1,2,4,3.38407182693481,0.165,-15230.1485334855
200,2,1,6,10,100,20,20,5,1,2,4,0.749013900756836,0.055,-2626.12825279973
500,2,1,6,10,100,20,20,5,1,2,4,2.5457329750061,0.014,-6874.60918036626
1000,2,1,6,10,100,20,20,5,1,2,4,6.30996894836426,0.021,-14110.0561048892
200,3,1,6,10,100,20,20,5,1,2,4,2.83299708366394,0.095,-3000.82337264764
500,3,1,6,10,100,20,20,5,1,2,4,10.4122149944305,0.02,-7359.07156777257
1000,3,1,6,10,100,20,20,5,1,2,4,17.17222905159,0.029,-15064.8637750972
200,1,2,6,10,100,20,20,5,1,2,4,0.899595975875854,0.18,-3341.10756976728
500,1,2,6,10,100,20,20,5,1,2,4,2.26195096969604,0.104,-8348.77237111947
1000,1,2,6,10,100,20,20,5,1,2,4,3.75399589538574,0.053,-16644.7384247137
200,2,2,6,10,100,20,20,5,1,2,4,0.907572984695435,0.095,-3085.9879693836
500,2,2,6,10,100,20,20,5,1,2,4,2.70576500892639,0.022,-7863.3821764047
1000,2,2,6,10,100,20,20,5,1,2,4,6.63220381736755,0.03,-16081.1114934146
200,3,2,6,10,100,20,20,5,1,2,4,3.65989899635315,0.18,-3341.10756976728
500,3,2,6,10,100,20,20,5,1,2,4,11.5830821990967,0.036,-8217.31769585523
1000,3,2,6,10,100,20,20,5,1,2,4,20.3472990989685,0.053,-16644.7384247137
200,1,1,3,4,400,20,20,5,1,2,4,0.447139978408813,0.03,-1301.41090164459
500,1,1,3,4,400,20,20,5,1,2,4,1.25410413742065,0.038,-3373.75145425051
1000,1,1,3,4,400,20,20,5,1,2,4,1.84882712364197,0.03,-6613.1497147879
200,2,1,3,4,400,20,20,5,1,2,4,0.966440916061401,0.02,-1165.13690792329
500,2,1,3,4,400,20,20,5,1,2,4,4.69544196128845,0.014,-3004.52989715948
1000,2,1,3,4,400,20,20,5,1,2,4,19.4551408290863,0.017,-5972.99703484316
200,3,1,3,4,400,20,20,5,1,2,4,2.19612693786621,0.03,-1301.41090164459
500,3,1,3,4,400,20,20,5,1,2,4,5.62248206138611,0.038,-3373.75145425051
1000,3,1,3,4,400,20,20,5,1,2,4,9.53849291801453,0.03,-6613.1497147879
200,1,2,3,4,400,20,20,5,1,2,4,0.441817998886108,0.06,-1715.44277270973
500,1,2,3,4,400,20,20,5,1,2,4,1.22173404693604,0.054,-4323.91355222977
1000,1,2,3,4,400,20,20,5,1,2,4,1.79620599746704,0.043,-8559.22035588013
200,2,2,3,4,400,20,20,5,1,2,4,0.830779075622559,0.03,-1553.58848406316
500,2,2,3,4,400,20,20,5,1,2,4,3.14744019508362,0.02,-3987.68085095429
1000,2,2,3,4,400,20,20,5,1,2,4,15.597323179245,0.022,-7940.55889324362
200,3,2,3,4,400,20,20,5,1,2,4,2.08143401145935,0.06,-1715.44277270973
500,3,2,3,4,400,20,20,5,1,2,4,6.00715184211731,0.054,-4323.91355222977
1000,3,2,3,4,400,20,20,5,1,2,4,9.12534308433533,0.043,-8559.22035588013
200,1,1,6,4,400,20,20,5,1,2,4,0.979380130767822,0.045,-1517.42633514815
500,1,1,6,4,400,20,20,5,1,2,4,2.34971714019775,0.02,-3727.40739119308
1000,1,1,6,4,400,20,20,5,1,2,4,3.20941710472107,0.026,-7343.25721620727
200,2,1,6,4,400,20,20,5,1,2,4,1.15055799484253,0.025,-1270.21767616205
500,2,1,6,4,400,20,20,5,1,2,4,4.80492401123047,0.012,-3276.82741036738
1000,2,1,6,4,400,20,20,5,1,2,4,16.4011800289154,0.018,-6569.7820715414
200,3,1,6,4,400,20,20,5,1,2,4,4.28853106498718,0.02,-1500.3685114877
500,3,1,6,4,400,20,20,5,1,2,4,12.0038621425629,0.02,-3727.40739119308
1000,3,1,6,4,400,20,20,5,1,2,4,17.1243629455566,0.026,-7343.25721620727
200,1,2,6,4,400,20,20,5,1,2,4,1.14992499351501,0.02,-1807.11704298998
500,1,2,6,4,400,20,20,5,1,2,4,2.89826798439026,0.044,-4566.77362629534
1000,1,2,6,4,400,20,20,5,1,2,4,4.66473793983459,0.048,-9291.35656861605
200,2,2,6,4,400,20,20,5,1,2,4,1.60227203369141,0.02,-1665.82436524347
500,2,2,6,4,400,20,20,5,1,2,4,5.00515079498291,0.016,-4261.73297086131
1000,2,2,6,4,400,20,20,5,1,2,4,14.5153558254242,0.026,-8520.09172150903
200,3,2,6,4,400,20,20,5,1,2,4,5.37662196159363,0.02,-1807.11704298998
500,3,2,6,4,400,20,20,5,1,2,4,15.464497089386,0.044,-4566.77362629534
1000,3,2,6,4,400,20,20,5,1,2,4,23.5137941837311,0.048,-9291.35656861605
200,1,1,3,10,400,20,20,5,1,2,4,1.4288330078125,0.055,-2737.87149635844
500,1,1,3,10,400,20,20,5,1,2,4,3.52015995979309,0.044,-7040.71087769264
1000,1,1,3,10,400,20,20,5,1,2,4,5.65189909934998,0.055,-14182.6021601184
200,2,1,3,10,400,20,20,5,1,2,4,1.75031781196594,0.03,-2579.37247154023
500,2,1,3,10,400,20,20,5,1,2,4,5.54070401191711,0.016,-6681.34896808795
1000,2,1,3,10,400,20,20,5,1,2,4,18.8803629875183,0.018,-13593.3713628466
200,3,1,3,10,400,20,20,5,1,2,4,7.67084097862244,0.065,-2769.53645563525
500,3,1,3,10,400,20,20,5,1,2,4,17.0864191055298,0.044,-7040.71087769264
1000,3,1,3,10,400,20,20,5,1,2,4,28.354875087738,0.055,-14182.6021601184
200,1,2,3,10,400,20,20,5,1,2,4,1.30949902534485,0.065,-3150.64197752269
500,1,2,3,10,400,20,20,5,1,2,4,2.33375906944275,0.062,-8054.74039003031
1000,1,2,3,10,400,20,20,5,1,2,4,3.81331086158752,0.08,-16214.411899239
200,2,2,3,10,400,20,20,5,1,2,4,1.7190260887146,0.04,-2986.28049596377
500,2,2,3,10,400,20,20,5,1,2,4,4.58075094223022,0.032,-7658.1703849673
1000,2,2,3,10,400,20,20,5,1,2,4,16.2635989189148,0.03,-15547.544272992
200,3,2,3,10,400,20,20,5,1,2,4,6.79311084747314,0.065,-3150.64197752269
500,3,2,3,10,400,20,20,5,1,2,4,11.5006039142609,0.062,-8054.74039003031
1000,3,2,3,10,400,20,20,5,1,2,4,19.2836098670959,0.08,-16214.411899239
200,1,1,6,10,400,20,20,5,1,2,4,2.50928997993469,0.095,-3000.82337264764
500,1,1,6,10,400,20,20,5,1,2,4,7.42199897766113,0.02,-7359.07156777257
1000,1,1,6,10,400,20,20,5,1,2,4,12.2567570209503,0.029,-15064.8637750972
200,2,1,6,10,400,20,20,5,1,2,4,2.49112987518311,0.04,-2622.239023222
500,2,1,6,10,400,20,20,5,1,2,4,9.01647400856018,0.014,-6874.60918036626
1000,2,1,6,10,400,20,20,5,1,2,4,25.6517629623413,0.021,-14110.1261876651
200,3,1,6,10,400,20,20,5,1,2,4,11.263170003891,0.095,-3000.82337264764
500,3,1,6,10,400,20,20,5,1,2,4,38.6567080020905,0.02,-7359.07156777257
1000,3,1,6,10,400,20,20,5,1,2,4,64.4674990177155,0.029,-15064.8637750972
200,1,2,6,10,400,20,20,5,1,2,4,3.34675002098083,0.18,-3341.10756976728
500,1,2,6,10,400,20,20,5,1,2,4,8.49154615402222,0.036,-8217.31769585523
1000,1,2,6,10,400,20,20,5,1,2,4,14.0566380023956,0.053,-16644.7384247137
200,2,2,6,10,400,20,20,5,1,2,4,3.33664107322693,0.07,-3053.19125698264
500,2,2,6,10,400,20,20,5,1,2,4,11.0370569229126,0.022,-7863.3821764047
1000,2,2,6,10,400,20,20,5,1,2,4,29.3715310096741,0.03,-16080.7480126748
200,3,2,6,10,400,20,20,5,1,2,4,16.242537021637,0.085,-3293.35576897334
500,3,2,6,10,400,20,20,5,1,2,4,45.2318658828735,0.036,-8217.31769585523
1000,3,2,6,10,400,20,20,5,1,2,4,73.6028571128845,0.053,-16644.7384247137
200,1,1,3,4,100,20,20,5,1,1,5,0.0947470664978027,0.06,-1352.85729294102
500,1,1,3,4,100,20,20,5,1,1,5,0.273269891738892,0.026,-3376.29819156512
1000,1,1,3,4,100,20,20,5,1,1,5,0.434837102890015,0.033,-6764.67472921117
200,2,1,3,4,100,20,20,5,1,1,5,0.215423822402954,0.02,-1218.59012909517
500,2,1,3,4,100,20,20,5,1,1,5,0.884635925292969,0.022,-3017.79051993091
1000,2,1,3,4,100,20,20,5,1,1,5,3.98434591293335,0.018,-6066.87392369927
200,3,1,3,4,100,20,20,5,1,1,5,0.546538829803467,0.06,-1352.85729294102
500,3,1,3,4,100,20,20,5,1,1,5,1.4640851020813,0.026,-3376.29819156512
1000,3,1,3,4,100,20,20,5,1,1,5,2.23901200294495,0.033,-6764.67472921117
200,1,2,3,4,100,20,20,5,1,1,5,0.117685079574585,0.055,-1723.76546995164
500,1,2,3,4,100,20,20,5,1,1,5,0.27027702331543,0.064,-4391.96443581906
1000,1,2,3,4,100,20,20,5,1,1,5,0.40349006652832,0.043,-8814.07702430655
200,2,2,3,4,100,20,20,5,1,1,5,0.199465036392212,0.03,-1611.35857373189
500,2,2,3,4,100,20,20,5,1,1,5,1.02924704551697,0.028,-4002.65046231032
1000,2,2,3,4,100,20,20,5,1,1,5,3.76692700386047,0.02,-8045.3532447154
200,3,2,3,4,100,20,20,5,1,1,5,0.574465036392212,0.055,-1723.76546995164
500,3,2,3,4,100,20,20,5,1,1,5,1.46508312225342,0.064,-4391.96443581906
1000,3,2,3,4,100,20,20,5,1,1,5,2.10437202453613,0.043,-8814.07702430655
200,1,1,6,4,100,20,20,5,1,1,5,0.244346141815186,0.04,-1546.13879228454
500,1,1,6,4,100,20,20,5,1,1,5,0.597403049468994,0.036,-3726.23626327491
1000,1,1,6,4,100,20,20,5,1,1,5,0.815818071365356,0.025,-7550.40687021058
200,2,1,6,4,100,20,20,5,1,1,5,0.31116795539856,0.025,-1317.70941291481
500,2,1,6,4,100,20,20,5,1,1,5,1.07512497901917,0.024,-3301.66235217411
1000,2,1,6,4,100,20,20,5,1,1,5,4.27757811546326,0.017,-6670.79445938873
200,3,1,6,4,100,20,20,5,1,1,5,1.20477795600891,0.035,-1547.32811098324
500,3,1,6,4,100,20,20,5,1,1,5,3.0210120677948,0.032,-3842.07526520306
1000,3,1,6,4,100,20,20,5,1,1,5,4.06431794166565,0.021,-7499.97975775777
200,1,2,6,4,100,20,20,5,1,1,5,0.250331163406372,0.07,-1829.49764437472
500,1,2,6,4,100,20,20,5,1,1,5,0.834768056869507,0.062,-4693.78752031745
1000,1,2,6,4,100,20,20,5,1,1,5,1.26162505149841,0.042,-9362.10756400219
200,2,2,6,4,100,20,20,5,1,1,5,0.360037088394165,0.03,-1703.47363571295
500,2,2,6,4,100,20,20,5,1,1,5,1.34440517425537,0.046,-4283.32447204627
1000,2,2,6,4,100,20,20,5,1,1,5,4.36157894134521,0.021,-8650.01050494842
200,3,2,6,4,100,20,20,5,1,1,5,1.36435103416443,0.075,-1906.88403326792
500,3,2,6,4,100,20,20,5,1,1,5,3.78487801551819,0.066,-4565.85295246693
1000,3,2,6,4,100,20,20,5,1,1,5,5.92369699478149,0.034,-9224.88998983966
200,1,1,3,10,100,20,20,5,1,1,5,0.4029221534729,0.055,-2789.93203284502
500,1,1,3,10,100,20,20,5,1,1,5,0.821803092956543,0.048,-7087.73694867285
1000,1,1,3,10,100,20,20,5,1,1,5,1.46408414840698,0.048,-14302.3745103947
200,2,1,3,10,100,20,20,5,1,1,5,0.509634971618652,0.025,-2635.19018387619
500,2,1,3,10,100,20,20,5,1,1,5,1.54087901115417,0.032,-6790.60274310491
1000,2,1,3,10,100,20,20,5,1,1,5,4.64757204055786,0.017,-13658.1224581032
200,3,1,3,10,100,20,20,5,1,1,5,1.87199306488037,0.055,-2789.93203284502
500,3,1,3,10,100,20,20,5,1,1,5,4.44471001625061,0.042,-7138.97844956054
1000,3,1,3,10,100,20,20,5,1,1,5,7.46878695487976,0.048,-14302.3745103947
200,1,2,3,10,100,20,20,5,1,1,5,0.319147109985352,0.06,-3194.36125173098
500,1,2,3,10,100,20,20,5,1,1,5,0.677189111709595,0.066,-8031.24304988046
1000,1,2,3,10,100,20,20,5,1,1,5,0.963423013687134,0.064,-16332.9530844247
200,2,2,3,10,100,20,20,5,1,1,5,0.391952037811279,0.05,-3050.41365037248
500,2,2,3,10,100,20,20,5,1,1,5,1.1399519443512,0.024,-7786.08700630942
1000,2,2,3,10,100,20,20,5,1,1,5,3.92609119415283,0.034,-15609.3054520822
200,3,2,3,10,100,20,20,5,1,1,5,1.59329104423523,0.075,-3235.70836020409
500,3,2,3,10,100,20,20,5,1,1,5,3.25424003601074,0.066,-8031.24304988046
1000,3,2,3,10,100,20,20,5,1,1,5,4.68148183822632,0.052,-16355.9665177913
200,1,1,6,10,100,20,20,5,1,1,5,0.699130058288574,0.295,-3058.05743954058
500,1,1,6,10,100,20,20,5,1,1,5,1.81067395210266,0.138,-7658.305351436
1000,1,1,6,10,100,20,20,5,1,1,5,2.96267199516296,0.069,-15182.6903804978
200,2,1,6,10,100,20,20,5,1,1,5,0.774927854537964,0.035,-2642.63283808039
500,2,1,6,10,100,20,20,5,1,1,5,2.49333214759827,0.022,-7020.91464867531
1000,2,1,6,10,100,20,20,5,1,1,5,6.69578218460083,0.02,-14196.8717198678
200,3,1,6,10,100,20,20,5,1,1,5,3.51414799690247,0.255,-3038.54535427558
500,3,1,6,10,100,20,20,5,1,1,5,9.30630397796631,0.182,-7572.23123966081
1000,3,1,6,10,100,20,20,5,1,1,5,15.596832036972,0.03,-15166.5841567456
200,1,2,6,10,100,20,20,5,1,1,5,0.656244993209839,0.3,-3483.7137248045
500,1,2,6,10,100,20,20,5,1,1,5,2.27192401885986,0.218,-8448.82924390504
1000,1,2,6,10,100,20,20,5,1,1,5,3.65622186660767,0.051,-16884.5389933577
200,2,2,6,10,100,20,20,5,1,1,5,0.837759971618652,0.12,-3073.00245342886
500,2,2,6,10,100,20,20,5,1,1,5,2.73169493675232,0.066,-7989.43694269505
1000,2,2,6,10,100,20,20,5,1,1,5,6.68481302261353,0.023,-16169.5179872775
200,3,2,6,10,100,20,20,5,1,1,5,4.00628614425659,0.2,-3284.3404052071
500,3,2,6,10,100,20,20,5,1,1,5,11.0454227924347,0.07,-8294.36068405021
1000,3,2,6,10,100,20,20,5,1,1,5,18.5209958553314,0.037,-16733.7611973996
200,1,1,3,4,400,20,20,5,1,1,5,0.414561033248901,0.06,-1352.85729294102
500,1,1,3,4,400,20,20,5,1,1,5,1.21275806427002,0.026,-3376.29819156512
1000,1,1,3,4,400,20,20,5,1,1,5,1.83808493614197,0.033,-6764.67472921117
200,2,1,3,4,400,20,20,5,1,1,5,0.942480087280273,0.02,-1218.59012909517
500,2,1,3,4,400,20,20,5,1,1,5,4.19976902008057,0.022,-3017.79051993091
1000,2,1,3,4,400,20,20,5,1,1,5,19.5336079597473,0.018,-6066.87392369927
200,3,1,3,4,400,20,20,5,1,1,5,2.17717790603638,0.06,-1352.85729294102
500,3,1,3,4,400,20,20,5,1,1,5,5.76358699798584,0.026,-3376.29819156512
1000,3,1,3,4,400,20,20,5,1,1,5,9.36210203170776,0.033,-6764.67472921117
200,1,2,3,4,400,20,20,5,1,1,5,0.423865795135498,0.055,-1723.76546995164
500,1,2,3,4,400,20,20,5,1,1,5,1.27259683609009,0.064,-4391.96443581906
1000,1,2,3,4,400,20,20,5,1,1,5,1.82805705070496,0.043,-8814.07702430655
200,2,2,3,4,400,20,20,5,1,1,5,0.759968042373657,0.03,-1611.35857373189
500,2,2,3,4,400,20,20,5,1,1,5,3.21340608596802,0.028,-4002.65046231032
1000,2,2,3,4,400,20,20,5,1,1,5,14.8702349662781,0.02,-8045.3532447154
200,3,2,3,4,400,20,20,5,1,1,5,2.39680886268616,0.055,-1723.76546995164
500,3,2,3,4,400,20,20,5,1,1,5,5.47835111618042,0.064,-4391.96443581906
1000,3,2,3,4,400,20,20,5,1,1,5,7.95223498344421,0.043,-8814.07702430655
200,1,1,6,4,400,20,20,5,1,1,5,0.87565803527832,0.035,-1547.32811098324
500,1,1,6,4,400,20,20,5,1,1,5,2.22606611251831,0.032,-3842.07526520306
1000,1,1,6,4,400,20,20,5,1,1,5,2.94013500213623,0.021,-7499.97975775777
200,2,1,6,4,400,20,20,5,1,1,5,1.28157210350037,0.025,-1317.70941291481
500,2,1,6,4,400,20,20,5,1,1,5,4.73601198196411,0.024,-3301.66235217411
1000,2,1,6,4,400,20,20,5,1,1,5,14.1154909133911,0.017,-6670.79445938873
200,3,1,6,4,400,20,20,5,1,1,5,4.26734304428101,0.05,-1558.22472264762
500,3,1,6,4,400,20,20,5,1,1,5,12.8219459056854,0.032,-3842.07526520306
1000,3,1,6,4,400,20,20,5,1,1,5,16.5546631813049,0.021,-7499.97975775777
200,1,2,6,4,400,20,20,5,1,1,5,1.0382239818573,0.075,-1906.88403326792
500,1,2,6,4,400,20,20,5,1,1,5,2.94612193107605,0.066,-4565.85295246693
1000,1,2,6,4,400,20,20,5,1,1,5,4.57321882247925,0.034,-9224.88998983966
200,2,2,6,4,400,20,20,5,1,1,5,1.44613194465637,0.035,-1704.12078751043
500,2,2,6,4,400,20,20,5,1,1,5,5.02039504051208,0.038,-4282.69819166977
1000,2,2,6,4,400,20,20,5,1,1,5,17.4126310348511,0.021,-8650.45954440621
200,3,2,6,4,400,20,20,5,1,1,5,5.37263298034668,0.05,-1835.73208888081
500,3,2,6,4,400,20,20,5,1,1,5,15.6822137832642,0.066,-4565.85295246693
1000,3,2,6,4,400,20,20,5,1,1,5,25.3867111206055,0.034,-9224.88998983966
200,1,1,3,10,400,20,20,5,1,1,5,1.41022801399231,0.055,-2789.93203284502
500,1,1,3,10,400,20,20,5,1,1,5,3.32610487937927,0.062,-7126.81239707472
1000,1,1,3,10,400,20,20,5,1,1,5,5.65139412879944,0.048,-14302.3745103947
200,2,1,3,10,400,20,20,5,1,1,5,2.02259111404419,0.025,-2635.19018387619
500,2,1,3,10,400,20,20,5,1,1,5,5.74951601028442,0.032,-6790.60274310491
1000,2,1,3,10,400,20,20,5,1,1,5,20.8554599285126,0.017,-13658.1224581032
200,3,1,3,10,400,20,20,5,1,1,5,7.25459909439087,0.045,-2783.95837638108
500,3,1,3,10,400,20,20,5,1,1,5,17.1930770874023,0.042,-7138.97844956054
1000,3,1,3,10,400,20,20,5,1,1,5,28.2890040874481,0.048,-14302.3745103947
200,1,2,3,10,400,20,20,5,1,1,5,1.36689901351929,0.075,-3235.70836020409
500,1,2,3,10,400,20,20,5,1,1,5,2.51826596260071,0.066,-8031.24304988046
1000,1,2,3,10,400,20,20,5,1,1,5,3.76094198226929,0.052,-16355.9665177913
200,2,2,3,10,400,20,20,5,1,1,5,1.79591298103333,0.05,-3050.41365037248
500,2,2,3,10,400,20,20,5,1,1,5,4.48301196098328,0.024,-7786.08700630942
1000,2,2,3,10,400,20,20,5,1,1,5,15.8157649040222,0.034,-15609.3054520822
200,3,2,3,10,400,20,20,5,1,1,5,6.4775869846344,0.075,-3235.70836020409
500,3,2,3,10,400,20,20,5,1,1,5,12.5215659141541,0.056,-8158.52524168965
1000,3,2,3,10,400,20,20,5,1,1,5,18.2979152202606,0.052,-16355.9665177913
200,1,1,6,10,400,20,20,5,1,1,5,2.54969811439514,0.255,-3038.54535427558
500,1,1,6,10,400,20,20,5,1,1,5,7.75426292419434,0.194,-7590.8876502523
1000,1,1,6,10,400,20,20,5,1,1,5,12.3057088851929,0.069,-15182.6903804978
200,2,1,6,10,400,20,20,5,1,1,5,2.85436797142029,0.035,-2641.89607186152
500,2,1,6,10,400,20,20,5,1,1,5,9.89791798591614,0.022,-7020.91464867531
1000,2,1,6,10,400,20,20,5,1,1,5,23.9331409931183,0.02,-14196.8717198678
200,3,1,6,10,400,20,20,5,1,1,5,11.8000288009644,0.255,-3038.54535427558
500,3,1,6,10,400,20,20,5,1,1,5,39.1348240375519,0.182,-7572.23123966081
1000,3,1,6,10,400,20,20,5,1,1,5,63.4520170688629,0.025,-15035.1252597836
200,1,2,6,10,400,20,20,5,1,1,5,3.15114998817444,0.2,-3284.3404052071
500,1,2,6,10,400,20,20,5,1,1,5,8.23172903060913,0.07,-8294.36068405021
1000,1,2,6,10,400,20,20,5,1,1,5,13.6688978672028,0.051,-16884.5389933577
