n,algorithm,scenario,k,p,nstart,nsteps,nkeep,equal_weights,opt,balanced,seed,time,error,obj
 200,4,1,3, 4,1000,20,10,FALSE,HARD,1, 1,0.461765050888062,0.015,-1216.63656390184
1000,4,1,3, 4,1000,20,10,FALSE,HARD,1, 1,1.41222405433655,0.008,-6187.46448807187
 200,2,2,3, 4,1000,20,10,FALSE,HARD,1, 1,0.949460983276367,0.04,-1608.94187132764
1000,2,2,3, 4,1000,20,10,FALSE,HARD,1, 1,4.28454303741455,0.016,-8154.04900543996
 200,3,2,3, 4,1000,20,10,FALSE,HARD,1, 1,1.2686071395874,0.04,-1608.94187132764
1000,3,2,3, 4,1000,20,10,FALSE,HARD,1, 1,4.58821201324463,0.016,-8154.04900543997
 200,4,2,3, 4,1000,20,10,FALSE,HARD,1, 1,0.439824104309082,0.04,-1609.11680353805
1000,4,2,3, 4,1000,20,10,FALSE,HARD,1, 1,1.26262283325195,0.016,-8154.04900543997
 200,2,1,6, 4,1000,20,10,FALSE,HARD,1, 1,0.780911922454834,0.01,-1324.71574862394
1000,2,1,6, 4,1000,20,10,FALSE,HARD,1, 1,3.76992011070251,0.015,-6781.59207374363
 200,3,1,6, 4,1000,20,10,FALSE,HARD,1, 1,2.49544501304626,0.01,-1324.71574862394
1000,3,1,6, 4,1000,20,10,FALSE,HARD,1, 1,6.64567399024963,0.017,-6781.45070661697
 200,4,1,6, 4,1000,20,10,FALSE,HARD,1, 1,1.17785000801086,0.01,-1324.71574862394
1000,4,1,6, 4,1000,20,10,FALSE,HARD,1, 1,2.91872191429138,0.017,-6781.45070661697
 200,2,2,6, 4,1000,20,10,FALSE,HARD,1, 1,1.72139811515808,0.04,-1721.48173342447
1000,2,2,6, 4,1000,20,10,FALSE,HARD,1, 1,9.05350804328918,0.031,-8731.00784002429
 200,3,2,6, 4,1000,20,10,FALSE,HARD,1, 1,3.80130887031555,0.03,-1720.41735088886
1000,3,2,6, 4,1000,20,10,FALSE,HARD,1, 1,11.7255160808563,0.031,-8731.00784002429
 200,4,2,6, 4,1000,20,10,FALSE,HARD,1, 1,1.15491104125977,0.03,-1722.09734801292
1000,4,2,6, 4,1000,20,10,FALSE,HARD,1, 1,2.64569997787476,0.031,-8731.04780793673
 200,2,1,3,10,1000,20,10,FALSE,HARD,1, 1,1.67851209640503,0.005,-2718.01600908013
1000,2,1,3,10,1000,20,10,FALSE,HARD,1, 1,6.66913604736328,0.014,-13648.1137806949
 200,3,1,3,10,1000,20,10,FALSE,HARD,1, 1,2.94566416740417,0.005,-2718.01600908013
1000,3,1,3,10,1000,20,10,FALSE,HARD,1, 1,8.00999808311462,0.014,-13648.2449065371
 200,4,1,3,10,1000,20,10,FALSE,HARD,1, 1,1.23868703842163,0.005,-2718.01600908013
1000,4,1,3,10,1000,20,10,FALSE,HARD,1, 1,2.80865883827209,0.013,-13648.6862389517
 200,2,2,3,10,1000,20,10,FALSE,HARD,1, 1,2.68881011009216,0.04,-3087.70268477208
1000,2,2,3,10,1000,20,10,FALSE,HARD,1, 1,8.24097895622253,0.02,-15610.1352223159
 200,3,2,3,10,1000,20,10,FALSE,HARD,1, 1,3.88553595542908,0.04,-3087.70268477208
1000,3,2,3,10,1000,20,10,FALSE,HARD,1, 1,9.5409791469574,0.02,-15610.1352223159
 200,4,2,3,10,1000,20,10,FALSE,HARD,1, 1,1.20477795600891,0.04,-3087.70268477208
1000,4,2,3,10,1000,20,10,FALSE,HARD,1, 1,2.95433902740479,0.02,-15610.3271322
 200,2,1,6,10,1000,20,10,FALSE,HARD,1, 1,2.83249592781067,0.03,-2769.50509632835
1000,2,1,6,10,1000,20,10,FALSE,HARD,1, 1,12.3792190551758,0.025,-14152.0132776486
 200,3,1,6,10,1000,20,10,FALSE,HARD,1, 1,7.82295203208923,0.03,-2768.69903815439
1000,3,1,6,10,1000,20,10,FALSE,HARD,1, 1,16.6527938842773,0.022,-14151.2991018892
 200,4,1,6,10,1000,20,10,FALSE,HARD,1, 1,3.03902387619019,0.03,-2768.69903815439
1000,4,1,6,10,1000,20,10,FALSE,HARD,1, 1,6.22451400756836,0.022,-14152.0992846957
 200,2,2,6,10,1000,20,10,FALSE,HARD,1, 1,4.15289402008057,0.285,-3263.91733209285
1000,2,2,6,10,1000,20,10,FALSE,HARD,1, 1,25.9287729263306,0.037,-16096.5326734326
 200,3,2,6,10,1000,20,10,FALSE,HARD,1, 1,8.46861386299133,0.15,-3184.09059080731
1000,3,2,6,10,1000,20,10,FALSE,HARD,1, 1,33.2578709125519,0.038,-16096.0109957171
 200,4,2,6,10,1000,20,10,FALSE,HARD,1, 1,3.330157995224,0.15,-3184.09059080731
