n,algorithm,scenario,k,p,q,var,sep.means,nstart,nsteps,nsteps.c2,factor.nstart,factor.nsteps,balanced,seed,time,error,obj
400,2,1,3,200,5,0.01,0,100,20,20,5,1,1,2,37.7466490268707,0.0225,478.793497438932
150,3,1,3,200,5,0.01,0,100,20,20,5,1,1,2,31.3627049922943,0.373333333333333,168.249497747751
400,3,1,3,200,5,0.01,0,100,20,20,5,1,1,2,179.316871166229,0.1,479.944024178037
150,1,2,3,200,5,0.01,0,100,20,20,5,1,1,2,5.99696803092957,0.233333333333333,169.838575045226
400,1,2,3,200,5,0.01,0,100,20,20,5,1,1,2,34.4893329143524,0.105,480.395256337972
150,2,2,3,200,5,0.01,0,100,20,20,5,1,1,2,7.1050341129303,0.0333333333333333,169.030218367087
400,2,2,3,200,5,0.01,0,100,20,20,5,1,1,2,35.1196658611298,0.0225,478.793497438932
150,3,2,3,200,5,0.01,0,100,20,20,5,1,1,2,31.8089859485626,0.373333333333333,168.249497747751
400,3,2,3,200,5,0.01,0,100,20,20,5,1,1,2,184.711745977402,0.1,479.944024178037
150,1,1,3,200,5,0.01,0,400,20,20,5,1,1,2,25.6210968494415,0.373333333333333,168.249497747751
400,1,1,3,200,5,0.01,0,400,20,20,5,1,1,2,147.920079946518,0.1,479.944024178037
150,2,1,3,200,5,0.01,0,400,20,20,5,1,1,2,26.0279259681702,0.0266666666666667,169.116199220587
400,2,1,3,200,5,0.01,0,400,20,20,5,1,1,2,148.117958784103,0.045,478.707455328474
150,3,1,3,200,5,0.01,0,400,20,20,5,1,1,2,128.386365890503,0.433333333333333,167.97122018963
400,3,1,3,200,5,0.01,0,400,20,20,5,1,1,2,745.387315034866,0.1,479.944024178037
150,1,2,3,200,5,0.01,0,400,20,20,5,1,1,2,24.8490669727325,0.373333333333333,168.249497747751
400,1,2,3,200,5,0.01,0,400,20,20,5,1,1,2,150.123799085617,0.1,479.944024178037
150,2,2,3,200,5,0.01,0,400,20,20,5,1,1,2,25.8738288879395,0.0266666666666667,169.116199220587
400,2,2,3,200,5,0.01,0,400,20,20,5,1,1,2,146.989876031876,0.045,478.707455328474
150,3,2,3,200,5,0.01,0,400,20,20,5,1,1,2,128.03519487381,0.433333333333333,167.97122018963
400,3,2,3,200,5,0.01,0,400,20,20,5,1,1,2,733.932478904724,0.1,479.944024178037
150,1,1,3,200,5,0.01,0,100,20,20,5,1,2,2,6.62632012367249,0.233333333333333,169.838575045226
400,1,1,3,200,5,0.01,0,100,20,20,5,1,2,2,36.1054708957672,0.105,480.395256337972
150,2,1,3,200,5,0.01,0,100,20,20,5,1,2,2,6.64225387573242,0.0333333333333333,169.030218367087
400,2,1,3,200,5,0.01,0,100,20,20,5,1,2,2,37.8149528503418,0.0225,478.793497438932
150,3,1,3,200,5,0.01,0,100,20,20,5,1,2,2,32.0653810501099,0.373333333333333,168.249497747751
400,3,1,3,200,5,0.01,0,100,20,20,5,1,2,2,186.196621179581,0.1,479.944024178037
150,1,2,3,200,5,0.01,0,100,20,20,5,1,2,2,6.86564087867737,0.233333333333333,169.838575045226
400,1,2,3,200,5,0.01,0,100,20,20,5,1,2,2,37.9093189239502,0.105,480.395256337972
150,2,2,3,200,5,0.01,0,100,20,20,5,1,2,2,6.55807018280029,0.0333333333333333,169.030218367087
400,2,2,3,200,5,0.01,0,100,20,20,5,1,2,2,38.4268391132355,0.0225,478.793497438932
150,3,2,3,200,5,0.01,0,100,20,20,5,1,2,2,31.0784180164337,0.373333333333333,168.249497747751
400,3,2,3,200,5,0.01,0,100,20,20,5,1,2,2,184.803916931152,0.1,479.944024178037
150,1,1,3,200,5,0.01,0,400,20,20,5,1,2,2,25.3866398334503,0.373333333333333,168.249497747751
400,1,1,3,200,5,0.01,0,400,20,20,5,1,2,2,147.295951128006,0.1,479.944024178037
150,2,1,3,200,5,0.01,0,400,20,20,5,1,2,2,26.5650057792664,0.0266666666666667,169.116199220587
400,2,1,3,200,5,0.01,0,400,20,20,5,1,2,2,148.52041220665,0.045,478.707455328474
